n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
1.000000000000000000e+15,7.424363827996389720e-01,6.503062532416193280e+05,5.636641711699438019e+03,4.623342180486792131e+03,9.983884059288202479e+02,8.932468292012561035e+10,7.126407758084069490e+08,7.432071465618507178e-01
1.299929992999300000e+15,1.099848615556579423e+00,9.638243109798975056e+05,7.455653788533693842e+03,6.852293929697664680e+03,9.148032529504866943e+02,8.932468292012561035e+10,3.347366443246399164e+08,1.101513498262740365e+00
1.599859985998600000e+15,1.500818670817360756e+00,1.315954564404953038e+06,9.316839729048122535e+03,9.355758482852867019e+03,8.536400615296835213e+02,8.932468292012561035e+10,1.847091258521759212e+08,1.503948073605660740e+00
1.899789978997899750e+15,1.940777611756322685e+00,1.702849706901837606e+06,1.121610067957031242e+04,1.210638347348584284e+04,8.061226024855523065e+02,8.932468292012561035e+10,1.132212965271624178e+08,1.946113950744957188e+00
2.199719971997199750e+15,2.416248062485220505e+00,2.121626967789499089e+06,1.315036355708476367e+04,1.508367388833177756e+04,7.676816910813400909e+02,8.932468292012561035e+10,7.473338299122038484e+07,2.424716534616571106e+00
2.499649964996500000e+15,2.924449382032422662e+00,2.570021318181944545e+06,1.511721241205234583e+04,1.827152653979800743e+04,7.356611500305347136e+02,8.932468292012561035e+10,5.211471624741813540e+07,2.937167220779365095e+00
2.799579957995799500e+15,3.463077501105211731e+00,3.046191793458367698e+06,1.711468251775407771e+04,2.165685311858144632e+04,7.083921650111601593e+02,8.932468292012561035e+10,3.791526431997933239e+07,3.481362049666706149e+00
3.099509950995099500e+15,4.030171099230394738e+00,3.548603549593200441e+06,1.914113495650473851e+04,2.522874167498377938e+04,6.847637863805838379e+02,8.932468292012561035e+10,2.852981332518125325e+07,4.055546913820800903e+00
3.399439943994399500e+15,4.624024964013511152e+00,4.075951332723466214e+06,2.119517522890619875e+04,2.897791252699230245e+04,6.640024921680746957e+02,8.932468292012561035e+10,2.206431545942418277e+07,4.658230094541103483e+00
3.699369936993699500e+15,5.243131120507726450e+00,4.627107341312792152e+06,2.327559779594991051e+04,3.289634758714696363e+04,6.455500349530657331e+02,8.932468292012561035e+10,1.745657184922229126e+07,5.288122675786048887e+00
3.999299929992999500e+15,5.886137271227751988e+00,5.201084305983758532e+06,2.538134680158275660e+04,3.697702787918328977e+04,6.289915346297725591e+02,8.932468292012561035e+10,1.407835298814110272e+07,5.944096349695725756e+00
4.299229922992299500e+15,6.551816533107363227e+00,5.797008509425622411e+06,2.751148736547535736e+04,4.121374172348659340e+04,6.140110249357259136e+02,8.932468292012561035e+10,1.154130903511834890e+07,6.625152582200712459e+00
4.599159915991599000e+15,7.239044828653391050e+00,6.414099547956973314e+06,2.966518404563454533e+04,4.560094085223669390e+04,6.003628354236800533e+02,8.932468292012561035e+10,9.596246754254477099e+06,7.330399483379397729e+00
4.899089908990899000e+15,7.946783627963345253e+00,7.051654811323381029e+06,3.184168431950641752e+04,5.013363006877127191e+04,5.878525282681287081e+02,8.932468292012561035e+10,8.078074823692208156e+06,8.059034070083864520e+00
